time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,acceptance_rate,service_rate,mean_served_delay_s,p95_served_delay_s,mean_timeout_delay_s,utilization,fairness
0.0,200.08983954041364,200.08983954041364,157.5380169753645,117.6293489150026,14.703668614375324,3,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.75,0.9946214392902265
1.0,724.7906843808227,724.7906843808227,193.04891034413328,152.12361805609328,19.01545225701166,7,0.0,0.0,0.0,1.0,0.4166666666666667,1.4,2.0,0.0,1.0,0.9831289308391157
2.0,1264.6834762202452,1264.6834762202452,167.2466655077079,142.55958466290357,17.819948082862947,9,0.0,0.0,0.0,1.0,0.4375,1.5714285714285714,2.0,0.0,1.0,0.9925688643326294
3.0,0.0,0.0,133.8637977829438,110.28071530221214,13.785089412776518,6,0.0,0.0,0.0,1.0,0.625,1.9,3.0,0.0,0.75,0.991282271334244
4.0,507.66765649766285,507.66765649766285,142.72554823953618,142.72554823953615,17.84069352994202,8,0.0,0.0,0.0,1.0,0.5789473684210527,2.1818181818181817,5.0,0.0,0.75,0.9747324566114928
5.0,356.5698360857054,356.5698360857054,191.26139871343477,191.26139871343477,23.907674839179347,10,0.0,0.0,0.0,1.0,0.5238095238095238,2.1818181818181817,5.0,0.0,1.0,0.9784621539290367
6.0,517.918363511864,517.918363511864,189.08946704280683,189.0894670428068,23.63618338035085,14,0.0,0.0,0.0,1.0,0.44,2.1818181818181817,5.0,0.0,1.0,0.9557003112509802
7.0,203.668903242746,203.668903242746,179.11004714924076,179.11004714924076,22.388755893655095,15,0.0,0.0,0.0,1.0,0.4444444444444444,2.5833333333333335,5.0,0.0,1.0,0.8936907936024283
8.0,448.7595572446627,448.7595572446627,176.02663706211698,145.78470810635432,18.22308851329429,14,0.0,0.0,0.0,1.0,0.5172413793103449,3.0,5.0,0.0,1.0,0.8538957594199666
9.0,948.4104802222269,948.4104802222269,154.37567681319734,150.55781236084738,18.819726545105922,17,0.0,0.0,0.0,1.0,0.48484848484848486,2.875,5.0,0.0,1.0,0.8894207209881876
