time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,acceptance_rate,service_rate,mean_served_delay_s,p95_served_delay_s,mean_timeout_delay_s,utilization,fairness
0.0,993.1004276215715,993.1004276215715,151.2076372223164,151.2076372223164,18.90095465278955,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.9775305020463012
1.0,1260.8228098935806,1260.8228098935806,188.84180552543606,156.0050062167618,19.500625777095227,12,0.0,0.0,0.0,1.0,0.2,1.6666666666666667,2.0,0.0,1.0,0.9815019906212293
2.0,724.9918821807256,724.9918821807256,192.09769175638883,192.0976917563888,24.0122114695486,11,0.0,0.0,0.0,1.0,0.3888888888888889,2.142857142857143,3.0,0.0,1.0,0.9864967061756644
3.0,2609.052099092884,2609.052099092884,179.0083073636413,179.00830736364128,22.37603842045516,18,0.0,0.0,0.0,1.0,0.28,2.142857142857143,3.0,0.0,1.0,0.9894268353707236
4.0,1437.5619784192634,1437.5619784192634,172.49426844191692,172.49426844191692,21.561783555239614,24,0.0,0.0,0.0,1.0,0.22580645161290322,2.142857142857143,3.0,0.0,1.0,0.9673747956278181
5.0,217.06334932918054,217.06334932918054,169.99817945031475,169.99817945031475,21.249772431289344,23,0.0,0.0,0.0,1.0,0.28125,2.6666666666666665,5.0,0.0,1.0,0.9673467017404008
6.0,370.68005793869236,370.68005793869236,164.7285066110358,164.7285066110358,20.591063326379476,25,0.0,0.0,0.0,1.0,0.2647058823529412,2.6666666666666665,5.0,0.0,1.0,0.9884321557654855
7.0,203.84369184456102,203.84369184456102,164.70607321598536,164.70607321598536,20.58825915199817,26,0.0,0.0,0.0,1.0,0.2571428571428571,2.6666666666666665,5.0,0.0,1.0,0.9883182499769556
8.0,375.9172818110252,375.9172818110252,161.46886308709279,161.46886308709279,20.183607885886598,31,0.0,0.0,0.0,1.0,0.24390243902439024,3.3,9.0,0.0,1.0,0.9573585145844854
9.0,50.85627623273669,50.85627623273669,161.58647412938558,161.58647412938555,20.198309266173194,32,0.0,0.0,0.0,1.0,0.23809523809523808,3.3,9.0,0.0,1.0,0.9574116118495845
10.0,1290.5656973970488,1290.5656973970488,161.19915811844209,161.19915811844209,20.14989476480526,37,0.0,0.0,0.0,1.0,0.2127659574468085,3.3,9.0,0.0,1.0,0.9604183644648261
11.0,1291.7363685817757,1291.7363685817757,161.37140160005177,161.37140160005177,20.17142520000647,41,0.0,0.0,0.0,1.0,0.19607843137254902,3.3,9.0,0.0,1.0,0.9599143980670591
12.0,876.1301495568123,876.1301495568123,156.27093902421908,156.27093902421905,19.53386737802738,46,0.0,0.0,0.0,1.0,0.17857142857142858,3.3,9.0,0.0,1.0,0.9358644541135683
13.0,42.85768823579281,42.85768823579281,156.43570988367716,156.43570988367713,19.554463735459642,47,0.0,0.0,0.0,1.0,0.17543859649122806,3.3,9.0,0.0,1.0,0.9358626784403539
14.0,323.8478568074869,323.8478568074869,156.56571207918591,156.56571207918591,19.57071400989824,50,0.0,0.0,0.0,1.0,0.16666666666666666,3.3,9.0,0.0,1.0,0.9360433673660031
15.0,519.7666977308602,519.7666977308602,156.73860802697817,156.73860802697817,19.59232600337227,52,0.0,0.0,0.0,1.0,0.1746031746031746,4.2727272727272725,14.0,0.0,1.0,0.9358648065089623
16.0,739.4117066173648,739.4117066173648,155.61256319116808,155.61256319116805,19.451570398896006,56,0.0,0.0,0.0,1.0,0.16417910447761194,4.2727272727272725,14.0,0.0,1.0,0.9485762464472145
17.0,1279.7350580753682,1279.7350580753682,154.93412167233822,154.9341216723382,19.366765209042274,62,0.0,0.0,0.0,1.0,0.16216216216216217,4.75,10.0,0.0,1.0,0.9557422146476539
18.0,1715.085424794646,1715.085424794646,155.08177316172242,155.08177316172242,19.385221645215303,70,0.0,0.0,0.0,1.0,0.14634146341463414,4.75,10.0,0.0,1.0,0.9553162886615971
19.0,1616.7013400722637,1616.7013400722637,155.43134890486715,155.43134890486718,19.428918613108397,74,0.0,0.0,0.0,1.0,0.13953488372093023,4.75,10.0,0.0,1.0,0.9533888145264243
20.0,215.29396711311114,215.29396711311114,155.44418897043363,155.44418897043363,19.430523621304204,75,0.02247191011235955,0.0,0.02247191011235955,1.0,0.1348314606741573,4.75,10.0,20.0,1.0,0.9539099865585584
21.0,569.2380409332836,569.2380409332836,157.25931701339232,157.25931701339232,19.65741462667404,72,0.06593406593406594,0.0,0.06593406593406594,1.0,0.14285714285714285,5.769230769230769,14.0,20.0,1.0,0.9667374284297194
22.0,379.0029054230463,379.0029054230463,157.7678309921378,157.76783099213782,19.720978874017227,73,0.07446808510638298,0.0,0.07446808510638298,1.0,0.14893617021276595,6.714285714285714,18.0,20.0,1.0,0.9632989078471005
23.0,986.2268675585825,986.2268675585825,155.67388978743293,155.67388978743296,19.45923622342912,71,0.14,0.0,0.14,1.0,0.15,7.333333333333333,18.0,20.0,1.0,0.928003227031725
24.0,1528.2181082297393,1528.2181082297393,152.20583639607963,152.2058363960797,19.02572954950996,71,0.17307692307692307,0.0,0.17307692307692307,1.0,0.14423076923076922,7.333333333333333,18.0,20.0,1.0,0.9164282919943996
25.0,1609.0434544705936,1609.0434544705936,151.117424278121,151.11742427812106,18.889678034765133,75,0.16964285714285715,0.0,0.16964285714285715,1.0,0.16071428571428573,8.666666666666666,18.0,20.0,1.0,0.9282884657361189
26.0,1586.9526370349272,1586.9526370349272,151.13448120187056,145.52722126975553,18.19090265871944,77,0.17796610169491525,0.0,0.17796610169491525,1.0,0.1694915254237288,8.9,18.0,20.0,1.0,0.9278819057006035
27.0,889.5660883625399,889.5660883625399,155.11461270308286,155.11461270308286,19.389326587885357,78,0.18181818181818182,0.0,0.18181818181818182,1.0,0.17355371900826447,9.238095238095237,18.0,20.0,1.0,0.9210651290432358
28.0,449.0487366889498,449.0487366889498,155.16965317490866,155.16965317490866,19.396206646863583,79,0.1935483870967742,0.0,0.1935483870967742,1.0,0.1693548387096774,9.238095238095237,18.0,20.0,1.0,0.9204648103116312
29.0,2559.409477898566,2559.409477898566,155.39214575313113,155.39214575313113,19.42401821914139,85,0.183206106870229,0.0,0.183206106870229,1.0,0.16793893129770993,9.090909090909092,18.0,20.0,1.0,0.9195600794653337
30.0,1494.6774425108415,1494.6774425108415,155.39049781675124,155.39049781675126,19.423812227093908,83,0.21641791044776118,0.0,0.21641791044776118,1.0,0.16417910447761194,9.090909090909092,18.0,20.0,1.0,0.9198008866008538
31.0,788.6841991733227,788.6841991733227,155.48286539974853,155.48286539974856,19.43535817496857,83,0.2391304347826087,0.0,0.2391304347826087,1.0,0.15942028985507245,9.090909090909092,18.0,20.0,1.0,0.9193649417415061
32.0,1277.8948105604454,1277.8948105604454,154.76394946220634,154.76394946220634,19.345493682775793,82,0.2624113475177305,0.0,0.2624113475177305,1.0,0.15602836879432624,9.090909090909092,18.0,20.0,1.0,0.9263134190105144
33.0,608.5894300329072,608.5894300329072,154.78487813561657,154.7848781356166,19.348109766952074,84,0.2638888888888889,0.0,0.2638888888888889,1.0,0.1527777777777778,9.090909090909092,18.0,20.0,1.0,0.9263885825460529
34.0,1249.8481620321008,1249.8481620321008,154.78964481641543,154.78964481641546,19.348705602051933,88,0.271523178807947,0.0,0.271523178807947,1.0,0.1456953642384106,9.090909090909092,18.0,20.0,1.0,0.9269027277884678
35.0,587.2290552902984,587.2290552902984,155.00818100632415,154.82207891381648,19.35275986422706,86,0.2857142857142857,0.0,0.2857142857142857,1.0,0.15584415584415584,9.708333333333334,19.0,20.0,1.0,0.9262539560498754
36.0,871.2398872199117,871.2398872199117,154.6427135607915,154.6427135607915,19.330339195098937,89,0.29375,0.0,0.29375,1.0,0.15,9.708333333333334,19.0,20.0,1.0,0.9298737736572125
37.0,1187.2018035511132,1187.2018035511132,154.6086480801028,154.6086480801028,19.32608101001285,88,0.3192771084337349,0.0,0.3192771084337349,1.0,0.15060240963855423,9.88,19.0,20.0,1.0,0.9310063991089123
38.0,1688.770655945655,1688.770655945655,155.41305272608,155.41305272608002,19.426631590760003,88,0.3485714285714286,0.0,0.3485714285714286,1.0,0.14857142857142858,10.26923076923077,19.0,20.0,1.0,0.9226836455221368
39.0,391.06340288277374,391.06340288277374,155.12880369944583,155.12880369944583,19.391100462430728,85,0.3615819209039548,0.0,0.3615819209039548,1.0,0.15819209039548024,10.964285714285714,20.0,20.0,1.0,0.9247216233502198
40.0,422.0493977000811,422.0493977000811,155.3079113935838,155.30791139358382,19.413488924197978,89,0.35714285714285715,0.0,0.35714285714285715,1.0,0.15384615384615385,10.964285714285714,20.0,20.0,1.0,0.9240814223616214
41.0,1480.075447917627,1480.075447917627,155.3535010505433,155.35350105054334,19.419187631317918,93,0.35638297872340424,0.0,0.35638297872340424,1.0,0.14893617021276595,10.964285714285714,20.0,20.0,1.0,0.9247965868215899
42.0,600.8225329567299,600.8225329567299,155.38373827062713,155.38373827062716,19.422967283828395,93,0.3631578947368421,0.0,0.3631578947368421,1.0,0.14736842105263157,10.964285714285714,20.0,20.0,1.0,0.925416605231644
43.0,1557.0178757426302,1557.0178757426302,155.1469835698761,155.1469835698761,19.393372946234514,92,0.38144329896907214,0.0,0.38144329896907214,1.0,0.14432989690721648,10.964285714285714,20.0,20.0,1.0,0.9275377783400055
44.0,2054.895872293874,1217.6598609878943,155.13506920269165,155.13506920269168,19.39188365033646,96,0.38613861386138615,0.009900990099009901,0.37623762376237624,0.9900990099009901,0.13861386138613863,10.964285714285714,20.0,20.0,1.0,0.9280423230696622
45.0,1105.3263203188117,1105.3263203188117,154.64298687504242,154.64298687504242,19.330373359380303,91,0.4174757281553398,0.009708737864077669,0.4077669902912621,0.9902912621359223,0.1407766990291262,11.172413793103448,20.0,20.0,1.0,0.9338177780427793
46.0,682.8435253883932,682.8435253883932,154.63664013614866,154.63664013614869,19.329580017018586,87,0.44019138755980863,0.009569377990430622,0.430622009569378,0.9904306220095693,0.14354066985645933,11.2,20.0,20.0,1.0,0.9337400807745745
47.0,411.07117494224684,411.07117494224684,155.00521142903753,155.00521142903756,19.375651428629695,86,0.4481132075471698,0.009433962264150943,0.4386792452830189,0.9905660377358491,0.14622641509433962,11.35483870967742,20.0,20.0,1.0,0.92894141299798
48.0,250.00011154026353,250.00011154026353,154.1258255451247,154.12582554512474,19.265728193140593,85,0.45794392523364486,0.009345794392523364,0.4485981308411215,0.9906542056074766,0.14485981308411214,11.35483870967742,20.0,20.0,1.0,0.9374739233656535
49.0,736.533723525284,736.533723525284,153.74474435346167,153.74474435346164,19.218093044182705,81,0.48148148148148145,0.009259259259259259,0.4722222222222222,0.9907407407407407,0.14351851851851852,11.35483870967742,20.0,20.0,1.0,0.9394485772056144
50.0,676.8710186620405,676.8710186620405,153.65976096325852,153.65976096325852,19.207470120407315,83,0.481981981981982,0.009009009009009009,0.47297297297297297,0.990990990990991,0.14414414414414414,11.3125,20.0,20.0,1.0,0.9390919777451485
51.0,996.9965827500157,996.9965827500157,153.65449813677978,153.65449813677978,19.206812267097472,85,0.4868421052631579,0.008771929824561403,0.4780701754385965,0.9912280701754386,0.14035087719298245,11.3125,20.0,20.0,1.0,0.9387203190314007
52.0,2200.7610829669684,2200.7610829669684,150.98403087020944,150.98403087020947,18.873003858776183,90,0.4808510638297872,0.00851063829787234,0.4723404255319149,0.9914893617021276,0.13617021276595745,11.3125,20.0,20.0,1.0,0.9383831914550729
53.0,1429.1698160758858,1429.1698160758858,150.12400716730605,150.12400716730608,18.76550089591326,94,0.4773662551440329,0.00823045267489712,0.4691358024691358,0.9917695473251029,0.13580246913580246,11.575757575757576,20.0,20.0,1.0,0.9522983578227973
54.0,0.0,0.0,150.00820758794333,150.00820758794333,18.751025948492916,88,0.5020576131687243,0.00823045267489712,0.49382716049382713,0.9917695473251029,0.13580246913580246,11.575757575757576,20.0,20.0,1.0,0.9529688659673714
55.0,383.18581396408746,383.18581396408746,149.86580690799656,149.86580690799659,18.733225863499573,88,0.5040650406504065,0.008130081300813009,0.4959349593495935,0.991869918699187,0.13821138211382114,11.823529411764707,20.0,20.0,1.0,0.9535528298802192
56.0,253.1469989461402,253.1469989461402,150.55114162336724,150.55114162336727,18.81889270292091,88,0.5139442231075697,0.00796812749003984,0.5059760956175299,0.9920318725099602,0.13545816733067728,11.823529411764707,20.0,20.0,1.0,0.9392935502252912
57.0,228.16736090641996,228.16736090641996,151.3315901605029,151.33159016050294,18.916448770062868,84,0.531496062992126,0.007874015748031496,0.5236220472440944,0.9921259842519685,0.1377952755905512,11.771428571428572,20.0,20.0,1.0,0.9298072891288643
58.0,691.1316683634274,691.1316683634274,149.44690166285363,149.44690166285363,18.680862707856704,78,0.5581395348837209,0.007751937984496124,0.5503875968992248,0.9922480620155039,0.13953488372093023,12.0,20.0,20.0,1.0,0.9553435746921944
